system_id,word,pos
4,查,VE
4,資訊,Na
4,趙少康,Nb
4,提問,VC
4,時,Ng
4,表示,VE
4,，,COMMACATEGORY
4,蕭美琴,Nb
4,剛,D
4,說,VE
4,台灣,Nc
4,基礎,Na
4,建設,Na
4,相當,Dfa
4,好,VH
4,，,COMMACATEGORY
4,請問,VE
4,中華民國,Nc
4,現在,Nd
4,社會,Na
4,上,Ncd
4,的,DE
4,缺,VJ
4,電,Na
4,缺,VJ
4,水,Na
4,缺,VJ
4,地,Na
4,缺,VJ
4,工,Na
4,缺,VJ
4,人,Na
4,算,VG
4,什麼,Nep
4,怎麼,D
4,會,D
4,很,Dfa
4,好,VH
4,前總統,Na
4,馬英九,Nb
4,執政,VA
4,時,Ng
4,，年,D
4,沒有,D
4,停,VHC
4,過,Di
4,次,Nes
4,電,Na
4,，,COMMACATEGORY
4,蔡英文,Nb
4,總統,Na
4,執政,VA
4,年,Nd
4,，,COMMACATEGORY
4,大停電次,VH
4,，,COMMACATEGORY
4,而且,Cbb
4,今後,Nd
4,還,D
4,可能,D
4,會,D
4,不斷,D
4,停電,VH
4,，,COMMACATEGORY
4,電費,Na
4,也,D
4,不斷,D
4,上漲,VH
4,，,COMMACATEGORY
4,建設,Na
4,怎麼,D
4,會,D
4,好,VH
4,趙少康,Nb
4,說,VE
4,，,COMMACATEGORY
4,自己,Nh
4,也,D
4,想,VE
4,請教,VE
4,蕭美琴,Nb
4,吳欣盈,Nb
4,，,COMMACATEGORY
4,你們,Nh
4,都,D
4,曾經,D
4,是,SHI
4,美國人,Na
4,，,COMMACATEGORY
4,也,D
4,曾經,D
4,宣誓,VE
4,效忠,VC
4,美國,Nc
4,，,COMMACATEGORY
4,如果,Cbb
4,中華民國,Nc
4,台灣,Nc
4,利益,Na
4,與,Caa
4,美國,Nc
4,衝突,Na
4,時,Ng
4,，,COMMACATEGORY
4,雙方,Nh
4,會,D
4,選擇,VC
4,什麼,Nep
4,兩,Neu
4,人,Na
4,會,D
4,效忠,VC
4,誰,Nh
4,趙少康,Nb
4,最後,Nd
4,說,VE
4,，,COMMACATEGORY
4,大家,Nh
4,都,D
4,知道,VK
4,美國人,Na
4,喜歡,VK
4,蕭美琴,Nb
4,，,COMMACATEGORY
4,但,Cbb
4,台積電,Nb
4,到,VCL
4,美國,Nc
4,投資,VC
4,，,COMMACATEGORY
4,台積電,Nb
4,創辦人,Na
4,張忠,Nb
4,謀說,VE
4,成本,Na
4,起碼,Da
4,上漲,VH
4,以上,Ng
4,，,COMMACATEGORY
4,而且,Cbb
4,可能,D
4,還,D
4,不止,VH
4,，,COMMACATEGORY
4,民進黨,Nb
4,這樣,VH
4,逼,VF
4,得,DE
4,台積電,Nb
4,董事長,Na
4,劉德音,Nb
4,辭職,VA
4,，,COMMACATEGORY
4,當然,D
4,對,P
4,外,Ncd
4,也許,D
4,會,D
4,說,VE
4,家庭,Na
4,，,COMMACATEGORY
4,身體,Na
4,問題,Na
4,，,COMMACATEGORY
4,其實,D
4,就,D
4,是,SHI
4,因為,Cbb
4,在,P
4,美國,Nc
4,建廠,VA
4,不,D
4,順,VH
4,，,COMMACATEGORY
4,就,D
4,因為,Cbb
4,台積電,Nb
4,的,DE
4,成,VG
4,本,D
4,要,D
4,增加,VHC
4,太多,Neqa
4,美國人,Na
4,那麼,D
4,喜歡,VK
4,蕭美琴,Nb
4,，,COMMACATEGORY
4,是否,D
4,有,V_2
4,好好,VH
4,的,DE
4,用,P
4,這,Nep
4,個,Nf
4,關係,Na
4,協助,VC
4,台積電,Nb
4,蕭美琴,Nb
4,回應,VC
4,，,COMMACATEGORY
4,第,Neu
4,個,Nf
4,台灣,Nc
4,不,D
4,缺,VJ
4,電,Na
4,，,COMMACATEGORY
4,台灣,Nc
